slug	title	著者グループ数	著者別巻
comitia-30th-chronicle	コミティア30thクロニクル	2	belne;kashmir;(v[1, 3]) || a-10;one;ouno;(v[2])
concierge	コンシェルジュ	2	楠木アルト(v[1, 2]) || イシゼキヒデユキ;藤栄道彦(v[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 1
cool	COOL	2	許斐剛(v[2, 2, 3]) || 桜沢エリカ(v[1])
cream-lemon	くりいむレモン	2	小川末来;海老原秀幸(v[7]) || フェアリーダスト(v[10])
crown	CROWN	2	和田慎二;氷栗優(v[1, 2, 3, 4, 5, 6]) || 中西達郎(v[2, 3, 4, 5])
crows-gaiden	クローズ外伝	2	高橋ヒロシ(v[1]) || 髙橋ヒロシ(v[2])
cry-anoko-to-shitai-koto	くらいあの子としたいこと	2	]碇マナツ(v[1, 2, 3, 4]) || 碇マナツ(v[5, 6])
cue-2004	CUE	2	村上カツラ(v[1, 2, 3]) || 花見沢q太郎(v[4])
cue	Cue	2	村上カツラ(v[1, 2, 3]) || 花見沢q太郎(v[4])
cyborg-jii-chan-g	CYBORGじいちゃんG	2	土方茂(v[1, 2, 3, 4]) || 小畑健(v[1, 2])
dag-boys	ダグ・ボーイズ	2	芹沢要(v[1]) || 荒木瑛(v[2])
dai-mahou-touge	大魔法峠	2	大和田秀樹(漫画家)(v[1, 2, 3]) || 大和田秀樹(v[4])
daidou-majutsushi-shounen-pierrot	大道魔術師少年ピエロ	2	オギノヒトシ(1972生)(v[1, 2]) || オギノヒトシ(v[3])
daikaijuu-geaachima	大怪獣ゲァーチマ	2	kent(v[1, 2, 3]) || kent漫画家(v[6, 7, 8])
daikanyama-noroiya-st	代官山呪い屋st.	2	浜田翔子(漫画家)(v[1, 2, 3]) || 浜田翔子(v[4, 5, 6, 7, 8, 9, 10])
dame-ningen-no-aishikata	ダメ人間の愛しかた	2	岩葉(v[1]) || 岩葉純希(v[2, 3, 4])
damenzu-walker	だめんず・うぉ～か～	2	倉田真由美(v[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 20]) || 倉田真由美(漫画家)(v[1, 2, 2, 3, 
danna-sama-to-watashi	ダンナ様と私	2	ナカハラモモタ(v[1]) || ナカハラ★モモタ(v[2])
dark-edge	DARK EDGE	2	有川有(v[1]) || 相川有(v[1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15
dark-summoner-to-dekite-iru	ダークサモナーとデキている	2	]車王(v[1, 2, 3, 4]) || 車王(v[5, 6, 7])
deki-no-ii-kiss-warui-kiss	できのいいキス悪いキス	2	初田シウコ(v[2]) || 鹿乃シウコ(v[1, 2])
dekirukana-googoo	できるかなゴーゴー!	2	西原理恵子(v[1]) || ]西原理恵子(v[1])
detsudohiito-shiyun	デッドヒート瞬	2	モロガ卓;鶴見史郎(v[1]) || サダヤス圭(v[2])
dochokkyuu-kareshi-x-kanojo	ド直球彼氏×彼女	2	フジタ渚佐(v[1, 3, 4, 5, 6, 7]) || ]フジタ渚佐(v[2])
dokutaa-moroo-no-lich-na-seikatsu-jii	Dr.モローのリッチな生活G	2	drモロー&スタジオ寿(v[1, 2]) || drモロー;スタジオ寿(v[3, 4])
doll-1996	DOLL	2	惣領冬実(v[1]) || 岡戸達也(v[2])
doll-2000	DOLL	2	緒方剛志(v[1]) || 岡戸達也(v[2])
doll-no-ie	人形の家	2	日下部拓海(v[1]) || マツザキアケミ(v[1])
dotou-no-sasaguchigumi	ドトウの笹口組	2	若林健次(v[1, 2, 3, 4, 7, 8, 9]) || 若林健二(v[5, 6])
doubt-amano-2012	Doubt!	2	名香智子(v[1, 1]) || 天乃咲哉(v[2, 3, 4])
douzo-gojiyuu-ni	どうぞごじゆうに	2	イノウエサキコ(v[1, 2]) || 井上咲子(v[3, 4])
dr-kou	Dr.汞	2	能條純一(v[1, 2, 3, 4]) || 能条純一(v[1, 2, 3, 5])
dragon-rance-senki	ドラゴンランス戦記	2	トーマスイエイツ(v[1, 2]) || トニーデズニガ(v[3])
drcl	#DRCL	2	坂本眞一(v[1, 2, 3, 4, 5]) || 坂本真一(v[6, 7])
eat-man	EAT-MAN	2	吉富昭仁(v[1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19]) || 吉冨昭仁(v[5,
