slug	title	edition	vol	isbn	rakuten_title	rakuten_core
8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	standard	1	9784776790099	プロジェクトX挑戦者たち（〔17〕）	プロジェクトx挑戦者タチ
82okushoku-no-kiseki	82億食の奇跡	standard	1	9784872878424	プロジェクトX挑戦者たち（〔5〕）	プロジェクトx挑戦者タチ
900	900。	standard	1	9784091580016	ナインハンドレッド（1）	ナインハンドレッド
900	900。	standard	2	9784091580023	ナインハンドレッド（2）	ナインハンドレッド
900	900。	standard	3	9784091580030	ナインハンドレッド（3）	ナインハンドレッド
99-2014	99.99%	standard	1	9784091865601	フォーナイン〜僕とカノジョの637日〜（1）	フォナイン僕トカノジョノ637日
99-2014	99.99%	standard	2	9784091870308	フォーナイン〜僕とカノジョの637日〜（2）	フォナイン僕トカノジョノ637日
a-a	A-A'	standard	1	9784091780379	萩尾望都作品集（〔第2期〕　17）	萩尾望都作品集
abaddon	アバドン	standard	1	9784063619171	Abaddon（1）	abaddon
abaddon	アバドン	standard	2	9784063821406	Abaddon〈アバドン〉（2）	abaddon
ad-boy	ADボーイ	standard	1	9784537125153	AD　BOY（1）	adboy
adabana-akunohana	仇花 悪の花	standard	1	9784821177226	まんがグリム童話（仇花悪の花鬼女・妖婦伝）	マンガグリム童話
adam-to-ibu-no-houteishiki	♂と♀の方程式	standard	1	9784091324917	あだむといぶの方程式（1）	アダムトイブノ方程式
adam-to-ibu-no-houteishiki	♂と♀の方程式	standard	2	9784091324924	あだむといぶの方程式（2）	アダムトイブノ方程式
