isbn13	date	publisher	series	volume	title	kana	creators	creators_roled	creators_auth
9784591169520	2021.3	ポプラ社		1	アニメコミックもっと!まじめにふまじめかいけつゾロリ. 1	アニメコミックモットマジメニフマジメカイケツゾロリ			
9784591169537	2021.3	ポプラ社		2	アニメコミックもっと!まじめにふまじめかいけつゾロリ. 2	アニメコミックモットマジメニフマジメカイケツゾロリ			
9784758069083	2021.3	一迅社	IDコミックス. Rex comics		イケおじに癒されるアンソロジーコミック	イケオジニイヤサレルアンソロジーコミック			
9784821127511	2021.3	ぶんか社	Bunkasha comics		お江戸B級グルメ : 時代劇グルメまんが傑作選	オエドBキュウグルメ:ジダイゲキグルメマンガケッサクセン			
9784821127696	2021.3	ぶんか社	Bunkasha comics	Vol. 23	俺流!絶品めし. Vol. 23	オレリュウ!ゼッピンメシ			
9784801926486	2021.3	竹書房	バンブームック	Vol. 2	女のブラック掲示板. Vol. 2	オンナノブラックケイジバン			
9784091793454	2021.3	小学館	Flower Comics Special		風光る紀行	カゼヒカルキコウ	渡辺, 多恵子, 1960-	渡辺多恵子 かきおろしまんが・協力:	渡辺, 多恵子, 1960-|00129071|ワタナベ, タエコ, 1960-
9784797673852	2021.3	集英社インターナショナル			彼女	カノジョ	江口, 寿史, 1958-	江口寿史:著	江口, 寿史, 1958-|00099338|エグチ, ヒサシ, 1958-
9784877232719	2021.3	興陽館			『ガロ』に人生を捧げた男 : 全身編集者の告白	ガロニジンセイオササゲタオトコ:ゼンシンヘンシュウシャノコクハク	白取, 千夏雄, -2017	白取千夏雄:著	白取, 千夏雄, -2017|031335603|シラトリ, チカオ, -2017
9784098610075	2021.3	小学館	BIG SUPERIOR COMICS SPEC	17	機動戦士ガンダムサンダーボルト 17	キドウセンシガンダムサンダーボルト	太田垣 康男/矢立 肇/富野 由悠季	太田垣 康男／著:/矢立 肇／原案:/富野 由悠季／原案:	
9784041112724	2021.3	KADOKAWA	角川コミックス・エース		機動戦士クロスボーン・ガンダムメカニック設定集 = MOBILE SUIT CROSS BONE GUNDAM MECHANIC EXPOSITION	キドウセンシクロスボーンガンダムメカニックセッテイシュウ	長谷川, 裕一, 1961-	長谷川裕一:著/矢立肇, 富野由悠季:原作/ガンダムエース編集部:編/カトキハジメ, 宮崎真一 デザイン協力:	長谷川, 裕一, 1961-|00177693|ハセガワ, ユウイチ, 1961-
9784867040621	2021.3	楽楽出版	RK MOOK		『鬼滅の刃』が教えてくれた魂の名言	キメツノヤイバガオシエテクレタタマシイノメイゲン	『鬼滅の刃』名言研究会 [著]	『鬼滅の刃』名言研究会 [著]:	
9784091990686	2021.3	小学館			銀の匙彩色画集 : 銀の匙Silver Spoonカラーイラスト集	ギンノサジサイショクガシュウ:ギンノサジシルヴァースプーンカラーイラストシュウ	荒川, 弘, 1973-	荒川弘:著	荒川, 弘, 1973-|00866715|アラカワ, ヒロム, 1973-
9784799214589	2021.3	キルタイムコミュニケーション	二次元ドリームコミックス ; 622	SP5	くっ殺ヒロインズ. SP5	クッコロヒロインズ			
9784813042259	2021.3	大洋図書	ミリオンムック ; 25	Vol. 3	劇画シークレット. Vol. 3	ゲキガシークレット			
9784758068918	2021.3	一迅社	Rex comics		こっち見ないで!!おもらし少女の決壊アンソロジーコミック	コッチミナイデ!!オモラシショウジョノケッカイアンソロジーコミック			
9784785968809	2021.4	少年画報社	Comic ; 933. ぐる漫		アウトドアごはん	アウトドアゴハン			
9784591170113	2021.4	ポプラ社		7	アニメコミックおしりたんてい. 7	アニメコミックオシリタンテイ			
9784309029627	2021.4	河出書房新社			一度きりの大泉の話	イチドキリノオオイズミノハナシ	萩尾, 望都, 1949-	萩尾望都:著	萩尾, 望都, 1949-|00006359|ハギオ, モト, 1949-
9784785968854	2021.4	少年画報社	Comic ; 938. ぐる漫	No. 57 (ウインナーと玉子焼き編)	思い出食堂. No. 57 (ウインナーと玉子焼き編)	オモイデショクドウ			
