slug	title	authors	nvol	pubgrps	yearspan	cm104_editions
watashi-ga-motenai-no-wa-dou-kangaetemo-omaera-ga-warui	私がモテないのはどう考えてもお前らが悪い!	谷川ニコ	28	301,757	2012-2026	0
watashi-ga-motete-dousunda	私がモテてどうすんだ	ぢゅん子	14	063,065	2013-2018	0
watashi-no-heya-no-neko-houdai	私の部屋の猫放題	TONO	3	056,864	2009-2023	0
watashi-no-shiawasena-kekkon	わたしの幸せな結婚	高坂りと	6	301,757	2019-2026	0
watashi-no-tame-ni-nuginasaitsu	わたしのために脱ぎなさいっ!	九郎	8	040,046	2018-2025	0
watashi-wa-gotsugou-shugi-na-kaiketsu-tantou-no-joou-de-aru	私はご都合主義な解決担当の王女である	米田和佐	7	040,046	2020-2026	0
watashitachi-wa-douka-shite-iru	私たちはどうかしている	安藤なつみ	19	063,065	2017-2023	0
west-end	West end	葵二葉/紅三葉	8	835,882	1996-2002	0
witch-craft-works	ウィッチクラフトワークス	水薙竜	17	063,065	2010-2022	0
world-teacher	ワールド・ティーチャー	吉乃そら	16	824,865	2017-2025	0
xxxholic	xxxHOLiC	CLAMP	18	063,770	2003-2010	0
yakumo-hyakkai	八雲百怪	森美夏	5	041,048	2009-2021	0
yakutatazu-to-iwareta-no-de-watashi-no-ie-wa-dokuritsu-shimasu	役立たずと言われたので、わたしの家は独立します!	黒野ユウ	8	045,047	2021-2026	0
yano-junkyouju-no-risei-to-yokujou	矢野准教授の理性と欲情	河丸慎	5	091,098	2017-2022	0
yari-no-yuusha-no-yarinaoshi	槍の勇者のやり直し	にぃと	11	040,046	2017-2023	0
yofukashi-no-uta	よふかしのうた	コトヤマ	20	091,098	2019-2024	0
yokke-kazoku	よっけ家族	宇仁田ゆみ	6	801,812	2013-2019	0
yokubari-na-osahou-ijiwaru-na-tehodoki	欲張りなお作法イジワルな手ほどき	天音佑湖	10	091,098	2017-2024	0
yokubou-pandora	欲望パンドラ	緋月アキラ	5	814,823	2018-2025	0
yondome-wa-iya-na-shi-zokusei-majutsushi	四度目は嫌な死属性魔術師	山口アキ/児嶋建洋	15	040,046	2018-2026	0
yoru-wa-neko-to-isshokenmei	夜は猫といっしょ	キュルZ	8	040,046	2020-2025	0
yoshio-no-sora	義男の空	(unknown)	12	907,990	2008-2019	0
yotabanashi	ヨタ話	新井理恵	5	091,098	2012-2018	0
youkai-apaato-no-yuugana-nichijou	妖怪アパートの幽雅な日常	深山和香	33	063,065	2011-2026	0
youkai-gakkou-no-sensei-hajimemashita	妖怪学校の先生はじめました!	田中まい	20	301,757	2015-2026	0
