title	kana_slug	v2_slug	new_slug	type	changed	flag
怪体真書0	kaitai-shinsho-zero	kaitai-shinsho-zero	kaitai-shinsho-0	音読み→数字	CHANGED	
カウント11	kaunto-irebun	kaunto-irebun	kaunto-11	英語読み付随→数字	CHANGED	
10年間身体を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	10-nenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishisama-ga-kyo-mo-sugatte-kuru	音読み→数字(先頭分割)	CHANGED	
10年間身体を乗っ取られ悪女になっていた私に、二度と顔を見せるなと婚約破棄してきた騎士様が今日も縋ってくる	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	junenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishi-sama-ga-kyo-mo-sugatte-kuru	10-nenkan-karada-wo-nottorare-akujo-ni-natte-ita-watashi-ni-nido-to-kao-wo-miseru-na-to-konyaku-haki-shitekita-kishisama-ga-kyo-mo-sugatte-kuru	音読み→数字(先頭分割)	CHANGED	
性教育120%	seikyoiku-hyakunijippaasento	seikyoiku-hyakunijippaasento	seikyoiku-120-paasento	音読み→数字(先頭分割)	CHANGED	
あと1%で運命の恋	ato-ichipaasento-de-unmei-no-koi	ato-ichipaasento-de-unmei-no-koi	ato-1-paasento-de-unmei-no-koi	音読み→数字(先頭分割)	CHANGED	
25歳の女子高生	nijugosai-no-joshikosei	nijugosai-no-joshikosei	25-sai-no-joshikosei	音読み→数字(先頭分割)	CHANGED	
マジキュー4コマ STEINS;GATE	majikyu-yonkoma-shutainzu-geeto	majikyu-yonkoma-shutainzu-geeto	majikyu-yonkoma-shutainzu-geeto	latin-mixed		latin混じり(別処理)
マジキュー4コマ マブラヴオルタネイティヴトータル・イクリプス	majikyu-yonkoma-maburavu-orutaneiteivu-totaru-ikuripusu	majikyu-yonkoma-maburavu-orutaneiteivu-totaru-ikuripusu	majikyu-4-koma-maburavu-orutaneiteivu-totaru-ikuripusu	音読み→数字(先頭分割)	CHANGED	
マジキュー4コマ真剣で私に恋しなさい!S	majikyu-yonkoma-maji-de-watashi-ni-koishinasai-esu	majikyu-yonkoma-maji-de-watashi-ni-koishinasai-esu	majikyu-yonkoma-maji-de-watashi-ni-koishinasai-esu	latin-mixed		latin混じり(別処理)
未完成NO.1	mikansei-no1	mikansei-no1	mikansei-no1	latin-mixed		latin混じり(別処理)
山田くんとLv999の恋をする	yamada-kun-to-reberu-kyuhyakukyujukyu-no-koi-o-suru	yamada-kun-to-reberu-kyuhyakukyujukyu-no-koi-o-suru	yamada-kun-to-reberu-kyuhyakukyujukyu-no-koi-o-suru	latin-mixed		latin混じり(別処理)
ウェディングベル35	uedinguberu-35	uedinguberu-35	uedinguberu-35	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
1×∞経験値1でレベルアップする俺は、最速で異世界最強になりました!	ichi-kakeru-mugen-keikenchi-ichi-de-reberu-appu-suru-ore-wa-saisoku-de-isekai-saikyo-ni-narimashita	ichi-kakeru-mugen-keikenchi-ichi-de-reberu-appu-suru-ore-wa-saisoku-de-isekai-saikyo-ni-narimashita	1-kakeru-mugen-keikenchi-ichi-de-reberu-appu-suru-ore-wa-saisoku-de-isekai-saikyo-ni-narimashita	音読み→数字	CHANGED	
享年82歳の異世界転生!?	kyonen-hachijunisai-no-isekai-tensei	kyonen-hachijunisai-no-isekai-tensei	kyonen-82-sai-no-isekai-tensei	音読み→数字(先頭分割)	CHANGED	
40までにしたい10のこと	yonju-made-ni-shitai-ju-no-koto	yonju-made-ni-shitai-ju-no-koto	40-made-ni-shitai-10-no-koto	音読み→数字	CHANGED	
魔法少女育成計画F2P	maho-shojo-ikusei-keikaku-efutsupii	maho-shojo-ikusei-keikaku-efutsupii	maho-shojo-ikusei-keikaku-efutsupii	latin-mixed		latin混じり(別処理)
13番目の転移者、異世界で神を目指す	jusanbanme-no-tenisha-isekai-de-kami-wo-mezasu	jusanbanme-no-tenisha-isekai-de-kami-wo-mezasu	13-banme-no-tenisha-isekai-de-kami-wo-mezasu	音読み→数字(先頭分割)	CHANGED	
元・世界1位のサブキャラ育成日記	moto-sekai-ichii-no-sabukyara-ikusei-nikki	moto-sekai-ichii-no-sabukyara-ikusei-nikki	moto-sekai-1-i-no-sabukyara-ikusei-nikki	音読み→数字(先頭分割)	CHANGED	
回転むてん丸 第2章 ひかりの旅路	kaiten-mutenmaru	kaiten-mutenmaru	kaiten-mutenmaru	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
No. 1の絶頂とろあま恋愛指南	nanbaa-wan-no-zetcho-toroama-renai-shinan	nanbaa-wan-no-zetcho-toroama-renai-shinan	nanbaa-wan-no-zetcho-toroama-renai-shinan	latin-mixed		latin混じり(別処理)
ドS社長と交際0日婚	dos-shacho-to-kosai-0nichikon	dos-shacho-to-kosai-0nichikon	dos-shacho-to-kosai-0nichikon	latin-mixed		latin混じり(別処理)
16bitセンセーション	jurokubitto-senseeshon	jurokubitto-senseeshon	jurokubitto-senseeshon	latin-mixed		latin混じり(別処理)
ちえりの恋は8メートル	chieri-no-koi-wa-hachi-meetoru	chieri-no-koi-wa-hachi-meetoru	chieri-no-koi-wa-8-meetoru	音読み→数字	CHANGED	
10歳下でも、アナタを抱きたい。	10saishita-demo-anata-o-dakitai	10saishita-demo-anata-o-dakitai	10saishita-demo-anata-o-dakitai	訓読み/当て字 or sandhi		数字の読みがtoken分割と不一致(sandhi等)→要確認
異世界帰りのアラフォーリーマン、17歳の頃に戻って無双する	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-junanasai-no-koro-ni-modotte-muso-suru	isekai-gaeri-no-arafo-riiman-17-sai-no-koro-ni-modotte-muso-suru	音読み→数字(先頭分割)	CHANGED	
Adventure2030学園	adobenchaa-nisen-sanju-gakuen	adobenchaa-nisen-sanju-gakuen	adobenchaa-nisen-sanju-gakuen	latin-mixed		latin混じり(別処理)
アドベンチャー2030学園	adobenchaa-nisen-sanju-gakuen	adobenchaa-nisen-sanju-gakuen	adobenchaa-2030-gakuen	音読み→数字	CHANGED	
